# ruleset sm-era-3 commit 5176f8a size 64 ticks 60000 ai 3 mirror 0 firmswap 0
seed,size,mirror,firmswap,ticks,offered,accepted,completed,failed,expired,acc_courier,acc_surveillance,acc_extraction,acc_sabotage,acc_acquisition,acc_defend,off_courier,off_surveillance,off_extraction,off_sabotage,off_acquisition,off_defend,courier,surveillance,extraction,sabotage,acquisition,defend,burns,downs,captures,arrests,rescues,banked,cacheLost,raids,raidsSucceeded,deployments,cleanExtracts,emergencyExtracts,heatMax,heatLockdownTicks,recognition,tierReached,avgSortieTicks,avgDeployTicks,deploysToTier3,ticksToTier3
1000,64,0,0,60000,80,47,21,23,25,9,4,26,0,0,8,251,158,607,47,28,486,7,3,3,0,0,8,53,27,27,27,0,1227,3073,18,12,20,17,0,5,17793,680,4,2594,3855,2,11929
1822,64,0,0,60000,80,24,18,5,28,4,12,4,1,1,2,288,193,373,105,121,349,1,9,4,1,1,2,27,7,7,7,0,5030,3788,24,6,8,5,0,5,37925,630,3,4794,14600,3,25232
2644,64,0,0,60000,80,41,18,12,15,3,10,18,2,0,8,160,216,795,7,25,231,3,8,2,0,0,5,39,17,17,17,0,3174,1145,8,2,12,9,0,5,25384,535,4,3466,8974,3,21601
3466,64,0,0,60000,80,32,12,17,19,3,9,16,2,0,2,344,161,818,34,33,20,2,5,2,2,0,1,30,21,21,21,0,1456,2148,14,6,14,11,0,5,17975,420,3,5132,6143,2,32556
4288,64,0,0,60000,80,56,9,46,30,3,4,43,1,1,4,164,592,665,31,10,65,3,3,1,0,1,1,60,54,54,54,0,1621,0,0,0,18,15,0,5,24872,290,3,2843,3778,13,53384
5110,64,0,0,60000,80,38,9,15,22,2,8,24,1,0,3,212,281,979,9,20,45,2,5,0,0,0,2,26,16,16,16,0,2525,1656,8,3,14,11,0,5,29657,270,3,3306,5447,2,22585
5932,64,0,0,60000,80,24,20,1,20,5,8,6,2,0,3,299,153,525,72,216,175,4,6,5,2,0,3,12,3,3,3,0,4234,1296,8,3,7,4,0,5,21154,675,4,3904,11915,2,21781
6754,64,0,0,60000,80,34,17,14,23,2,8,15,0,0,9,398,66,744,36,0,222,1,6,5,0,0,5,45,19,19,19,0,3319,933,12,4,11,8,0,5,71503,495,3,6967,11510,2,30954
7576,64,0,0,60000,80,26,22,3,23,2,12,7,0,0,5,166,216,581,54,101,257,2,12,4,0,0,4,15,3,3,3,0,2098,4055,9,10,6,3,0,5,6297,745,4,4214,13303,2,24862
8398,64,0,0,60000,80,66,4,62,22,0,5,61,0,0,0,151,269,4743,0,0,79,0,3,1,0,0,0,73,65,65,65,0,932,0,3,0,149,146,0,5,23918,90,2,9123,617,0,0
9220,64,0,0,60000,80,34,18,15,20,4,7,14,3,1,5,515,202,520,30,110,49,1,6,8,0,1,2,26,20,20,20,0,110,3338,5,15,8,5,0,5,26973,610,4,7119,5404,4,21759
10042,64,0,0,60000,80,68,4,63,23,0,5,62,0,0,1,245,480,3776,0,0,42,0,2,1,0,0,1,74,63,63,63,0,1191,0,3,0,127,124,0,5,37144,65,2,13021,866,0,0
10864,64,0,0,60000,80,42,11,22,32,1,9,28,1,1,2,239,263,681,133,63,92,1,6,2,0,1,1,42,28,28,28,0,2026,0,2,0,11,8,0,5,31717,350,4,5497,5993,6,32528
11686,64,0,0,60000,80,58,4,47,27,2,6,50,0,0,0,279,111,2040,0,0,40,0,3,1,0,0,0,77,55,55,55,0,0,622,16,3,35,32,0,5,59133,105,2,14958,1690,0,0
12508,64,0,0,60000,80,34,15,12,23,3,8,12,3,4,4,351,167,528,41,104,252,2,5,3,1,3,1,23,13,13,13,0,3349,440,15,2,8,5,0,5,14765,535,4,3289,13410,3,32929
13330,64,0,0,60000,80,68,6,61,34,1,2,64,0,0,1,362,149,4202,27,0,226,1,2,2,0,0,1,67,63,63,63,0,1664,0,1,0,158,155,0,5,20898,155,2,2799,452,0,0
14152,64,0,0,60000,80,15,8,4,24,1,6,4,1,0,3,259,286,622,40,0,183,1,5,1,0,0,1,10,4,4,4,0,2232,570,5,2,6,3,0,5,42314,265,2,3629,9910,0,0
14974,64,0,0,60000,80,24,19,2,31,4,7,7,3,1,2,362,191,444,186,141,96,3,7,4,3,0,2,21,5,5,5,0,2078,4480,9,12,6,3,0,5,18210,595,4,4481,11840,2,24886
15796,64,0,0,60000,80,25,20,2,29,4,8,4,1,1,7,584,125,160,48,175,285,3,7,2,0,1,7,16,3,3,3,0,3785,2912,8,8,7,4,0,4,3598,795,4,3551,15577,1,31657
16618,64,0,0,60000,80,83,14,2,29,4,64,7,0,0,8,212,62,987,29,97,39,0,6,1,0,0,7,16,4,4,4,0,3830,0,0,0,8,5,0,4,7196,490,4,3413,11362,2,22639
17440,64,0,0,60000,80,13,4,7,38,1,5,6,0,0,1,280,369,573,72,0,81,1,3,0,0,0,0,15,9,9,9,0,524,0,1,0,7,4,0,5,52603,115,2,3644,2740,0,0
18262,64,0,0,60000,80,21,14,4,20,1,10,4,1,0,5,303,291,575,0,124,107,1,7,1,0,0,5,25,6,5,5,0,3345,0,5,0,8,5,0,5,10031,530,4,5989,9188,3,30574
19084,64,0,0,60000,80,64,3,60,29,1,2,61,0,0,0,458,30,4168,0,0,114,1,1,1,0,0,0,66,63,63,63,0,266,266,10,1,108,105,0,5,37052,80,2,2354,536,0,0
19906,64,0,0,60000,80,31,22,5,31,7,8,8,1,0,7,340,154,362,51,144,374,5,6,4,1,0,6,15,6,6,6,0,1139,5195,22,18,6,3,0,5,18276,765,4,3899,17523,1,25786
20728,64,0,0,60000,80,17,14,0,32,1,6,3,0,0,7,461,179,609,49,83,54,1,4,3,0,0,6,23,0,0,0,0,2701,0,5,0,6,3,0,5,24314,305,4,3728,11570,2,21801
21550,64,0,0,60000,80,18,16,1,24,2,4,2,3,1,6,303,27,877,5,164,59,2,4,1,2,1,6,21,0,0,0,0,3269,1719,10,7,7,4,0,5,49387,630,4,5392,14257,1,28293
22372,64,0,0,60000,80,16,11,1,29,1,5,6,1,0,3,271,247,794,16,27,110,1,4,3,0,0,3,23,3,3,3,0,2330,0,4,0,6,3,0,5,59934,335,4,3964,16816,3,42914
23194,64,0,0,60000,80,39,23,11,24,8,3,15,2,3,8,318,68,460,67,285,229,4,3,7,0,2,7,27,17,17,17,0,1574,2490,23,13,8,5,0,5,22294,830,4,4110,10052,1,19916
24016,64,0,0,60000,80,33,4,27,29,0,5,28,0,0,0,524,80,3559,0,0,0,0,4,0,0,0,0,74,62,62,62,0,414,621,4,1,112,109,0,5,30001,20,2,4819,495,0,0
24838,64,0,0,60000,80,12,7,3,26,1,4,6,0,0,1,398,59,708,20,0,225,1,4,1,0,0,1,21,5,5,5,0,1656,214,3,1,6,3,0,5,67513,170,2,5404,13223,0,0
25660,64,0,0,60000,80,74,12,60,20,2,7,62,2,0,1,319,172,2303,16,113,36,2,6,1,2,0,1,76,63,63,63,0,2853,3681,54,7,43,40,0,5,60383,350,3,5133,2200,1,22261
26482,64,0,0,60000,80,46,6,38,21,1,5,38,0,0,2,101,78,1977,0,0,53,0,3,1,0,0,2,69,41,41,41,0,1760,414,7,1,28,25,0,5,71451,120,3,7875,3777,2,42718
27304,64,0,0,60000,80,65,2,62,24,0,5,60,0,0,0,376,196,3964,0,0,0,0,2,0,0,0,0,66,63,63,63,0,414,414,9,1,130,127,0,5,54658,20,1,4546,456,0,0
28126,64,0,0,60000,80,13,10,2,23,1,6,1,1,0,4,243,184,529,62,0,422,1,5,1,1,0,2,36,0,0,0,0,2853,3392,15,4,6,3,0,5,45456,200,2,4433,12150,0,0
28948,64,0,0,60000,80,25,14,7,23,1,10,9,3,0,2,284,115,676,39,83,193,1,9,1,2,0,1,36,9,9,9,0,4468,0,4,0,9,6,0,5,16777,320,4,4825,10691,4,42316
29770,64,0,0,60000,80,56,10,43,31,1,3,47,1,0,4,386,291,1408,38,2,141,1,3,3,1,0,2,60,46,46,46,0,777,759,25,3,32,29,0,5,50976,310,3,2873,2032,7,29903
30592,64,0,0,60000,80,8,5,0,30,2,2,3,0,0,1,690,100,235,79,0,296,2,2,1,0,0,0,7,0,0,0,0,1103,579,3,1,4,1,0,5,4198,70,2,4741,13980,0,0
31414,64,0,0,60000,80,17,14,0,24,4,5,6,0,0,2,378,136,483,90,134,129,4,5,3,0,0,2,8,0,0,0,0,2981,431,9,2,6,3,0,3,0,410,3,3081,18916,2,26271
32236,64,0,0,60000,80,62,1,59,27,0,4,58,0,0,0,444,125,3804,0,0,0,0,1,0,0,0,0,66,62,62,62,0,414,414,66,1,89,86,0,5,54478,35,1,4047,628,0,0
33058,64,0,0,60000,80,49,6,43,31,3,4,41,0,0,1,309,278,3885,33,0,118,2,3,0,0,0,1,76,64,64,64,0,1048,110,18,1,132,129,0,5,71944,110,3,9333,832,2,54032
33880,64,0,0,60000,80,21,18,2,19,3,9,4,0,0,5,24,544,408,26,48,350,2,8,3,0,0,5,19,3,3,3,0,1929,3688,5,11,6,3,0,5,35340,590,4,5061,10323,3,39401
34702,64,0,0,60000,80,45,14,29,26,3,7,33,0,0,2,382,164,691,42,33,224,3,3,6,0,0,2,54,39,39,39,0,2402,1398,8,3,15,12,0,5,33677,360,3,2839,5134,9,45466
35524,64,0,0,60000,80,17,6,9,24,2,6,9,0,0,0,330,101,1230,25,0,40,0,3,3,0,0,0,25,19,19,19,0,104,984,4,1,13,10,0,5,11838,160,2,5132,809,0,0
36346,64,0,0,60000,80,9,7,1,21,3,3,2,0,0,1,105,226,1137,0,0,0,2,2,2,0,0,1,9,5,5,5,0,524,104,2,1,6,3,0,5,9106,215,2,3020,3800,0,0
37168,64,0,0,60000,80,24,13,10,24,2,4,13,2,1,2,241,69,815,81,130,73,2,3,5,0,1,2,17,13,13,13,0,1709,0,1,0,7,4,0,5,16934,475,3,2977,7227,2,24794
37990,64,0,0,60000,80,27,18,5,32,4,7,9,1,2,4,276,92,515,111,157,291,2,6,5,0,2,3,16,7,7,7,0,2898,1863,9,4,6,3,0,5,6966,695,4,3598,13076,1,20051
38812,64,0,0,60000,80,52,19,19,18,2,8,33,2,0,7,124,143,1060,14,28,109,0,1,15,0,0,3,52,40,40,40,0,2179,0,14,0,15,12,0,5,63518,665,4,5153,4358,10,28218
39634,64,0,0,60000,80,22,9,11,36,3,3,13,1,0,2,254,186,875,64,12,39,1,2,3,1,0,2,24,11,11,11,0,1352,938,19,2,8,5,0,5,50382,280,3,9314,8520,6,51044
40456,64,0,0,60000,80,21,12,4,31,2,8,7,1,0,3,418,75,652,32,45,225,1,5,4,0,0,2,20,5,5,5,0,2492,208,17,2,6,3,0,5,33265,435,3,3888,25120,2,39973
41278,64,0,0,60000,80,15,9,3,25,1,5,6,2,0,1,263,396,591,84,102,8,0,5,3,1,0,0,14,4,4,4,0,2330,0,5,0,6,3,0,5,16385,230,3,5513,14173,2,28895
1137,64,0,0,60000,80,25,15,5,31,0,12,8,0,0,5,281,430,505,12,90,102,0,7,3,0,0,5,15,8,8,8,0,3882,0,0,0,9,6,0,5,13785,600,4,3287,7688,3,22992
1959,64,0,0,60000,80,36,13,20,24,1,10,18,2,2,3,377,368,477,27,86,84,1,7,1,1,2,1,35,21,21,21,0,3030,1821,9,3,11,8,0,5,25905,450,3,4158,8297,3,32557
2781,64,0,0,60000,80,91,3,74,25,3,4,83,1,0,0,139,343,2355,2,0,0,2,0,1,0,0,0,86,77,77,77,0,379,0,1,0,43,40,0,5,33099,45,2,8180,1226,0,0
3603,64,0,0,60000,80,14,3,8,31,1,3,10,0,0,0,244,299,761,0,0,177,1,1,1,0,0,0,18,12,12,12,0,890,0,3,0,8,5,0,5,12296,80,2,2113,2964,0,0
4425,64,0,0,60000,80,5,3,0,26,1,2,2,0,0,0,403,202,800,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,414,14,1,3,0,0,5,36548,80,1,3238,0,0,0
5247,64,0,0,60000,80,21,16,3,29,1,10,5,1,1,3,423,146,539,68,34,190,1,10,1,1,1,2,20,3,3,3,0,3474,2209,4,6,7,4,0,5,17069,440,4,4830,15100,2,32507
6069,64,0,0,60000,80,13,3,7,25,4,4,5,0,0,0,395,300,688,0,0,65,1,2,0,0,0,0,17,10,9,9,0,414,414,5,1,7,4,0,5,67948,105,2,3796,2357,0,0
6891,64,0,0,60000,80,45,16,23,27,1,8,33,0,0,3,254,295,1110,0,39,42,0,7,6,0,0,3,46,26,26,26,0,2899,1554,14,6,16,13,0,5,26977,500,3,7348,5608,1,33160
7713,64,0,0,60000,80,54,6,44,21,2,6,46,0,0,0,196,320,1762,21,0,7,1,4,1,0,0,0,62,47,47,47,0,1042,0,3,0,33,30,0,5,57104,140,2,4815,2203,0,0
8535,64,0,0,60000,80,63,4,58,22,1,2,59,0,0,1,296,304,3986,24,0,101,1,1,1,0,0,1,68,62,62,62,0,680,0,8,0,131,128,0,5,33512,75,2,3342,459,0,0
9357,64,0,0,60000,80,63,3,59,31,3,1,59,0,0,0,226,222,3860,57,0,140,1,1,1,0,0,0,69,63,63,63,0,680,680,22,2,103,100,0,5,37969,70,2,1997,550,0,0
10179,64,0,0,60000,80,46,9,34,23,4,6,34,0,0,2,209,218,1309,5,24,186,2,6,0,0,0,1,50,40,40,40,0,1559,1200,23,4,27,24,0,5,35349,275,3,4165,2804,2,27764
